date,waterLevel,rainfall,temperature,pHLevel,dissolvedOxygen,,,,
01-01-2022,1.72518962,4.361002172,63.94172074,7.847947694,5.783020591,,,,
02-01-2022,1.930098379,5.973318716,38.23164582,7.852466826,4.652134648,,,,
03-01-2022,1.974586166,7.865192645,57.6007187,7.515998475,4.736806159,,,,
04-01-2022,1.78984585,5.453841954,53.9262041,7.181816724,5.509266208,,,,
05-01-2022,1.883351534,6.286261028,73.57668609,6.963125382,6.409195339,,,,
06-01-2022,60,6.219680274,27.45048617,7.436958851,5.388127858,,,, 
07-01-2022,1.95426013,0.017496601,48.92946883,7.369909997,4.786731418,,,,
08-01-2022,1.812681621,2.474468658,51.86960385,7.731842026,5.408481554,,,,
09-01-2022,1.71711744,5.378066298,48.13663036,7.241143911,5.487958337,,,,
10-01-2022,2.020219449,4.765725743,35.3308437,7.496166842,5.954713818,,,,
11-01-2022,1.889469434,3.485188476,49.43215141,7.918332576,6.35344775,,,,
12-01-2022,1.62258929,5.294264015,62.15213201,7.839789235,6.357263179,,,,
13-01-2022,94,3.316081937,18.50042069,7.021417701,7.091713692,,,,
14-01-2022,2.040837541,2.382840987,72.85967642,7.736396699,5.814036795,,,,
15-01-2022,2.034874107,-0.385368924,69.30872175,7.213435797,5.129273906,,,,
16-01-2022,1.789461016,2.767329569,27.45242255,7.415690802,5.858588998,,,,
17-01-2022,1.801701087,6.96173991,20.55355723,6.914951064,5.924946584,,,,
18-01-2022,2.023893575,2.286014914,27.06158001,7.696465708,6.001652732,,,,
19-01-2022,1.811011963,0.492416515,77.08728748,7.84210689,5.977305876,,,,
20-01-2022,1.635307675,5.089902501,77.90077943,7.142369265,5.62293558,,,,
21-01-2022,1.990635046,4.681241863,32.60221038,7.083574883,4.127611744,,,,
22-01-2022,1.992881127,2.638368523,48.5206217,7.478457681,4.296989886,,,,
23-01-2022,2.024182307,4.892768104,60.91051527,7.052258023,6.493842528,,,,
24-01-2022,1.874749221,2.609788924,40.72024123,7.11750382,5.286207449,,,,
25-01-2022,2.033970898,-0.316150027,21.08185717,10.15824313,4.189976242,,,,
26-01-2022,1.891390454,1.472770112,32.49223201,7.154665747,6.740551457,,,,
27-01-2022,1.681689263,5.889760343,22.25051639,7.617257507,5.19056893,,,,
28-01-2022,1.86466588,3.422324519,29.03508938,7.825447558,5.130022229,,,,
29-01-2022,1.778422328,7.616672366,55.91759184,7.26991606,6.724431296,,,,
30-01-2022,1.739909298,3.617056013,47.1395717,7.987522589,5.753942778,,,,
31-01-2022,1.622470101,3.17937927,59.26719758,7.602744925,5.917044363,,,,
01-02-2022,1.920087048,4.224179264,71.77101695,6.932948121,4.223958629,,,,
02-02-2022,2.001778232,2.833806732,81.33803373,7.263273046,4.931927951,,,,
03-02-2022,1.658570963,2.554025822,29.18600307,7.523648571,4.735401101,,,,
04-02-2022,1.79716077,2.541230661,83.99556393,7.883459296,6.390572132,,,,
05-02-2022,1.670618231,4.883875555,79.35487702,7.398809119,4.976065486,,,,
06-02-2022,1.662604298,6.328752409,47.70370737,7.206608382,6.950560531,,,,
07-02-2022,2.009755128,5.181717626,60.10121039,7.382078627,6.748634611,,,,
08-02-2022,1.878192163,66.088069,4863.274856,7.542015805,6.684676828,,,,
09-02-2022,1.730139631,2.745523622,28.59331728,7.055843739,6.861299816,,,,
10-02-2022,1.927320991,5.126165284,68.56477575,6.957574749,5.121306965,,,,
11-02-2022,1.695317405,0.449766543,28.91536668,7.045749851,4.32030005,,,,
12-02-2022,1.735009058,5.205116969,47.61657464,7.900681122,6.155532231,,,,
13-02-2022,1.841160213,2.457093036,54.61560384,7.990451502,5.382822667,,,,
14-02-2022,1.834992626,8.37742146,38.45792436,7.102878591,5.192901073,,,,
15-02-2022,1.778991043,7.16797435,61.1511506,7.588371892,5.549085895,,,,
16-02-2022,1.814367804,6.005293435,60.56846242,7.90538114,5.958271743,,,,
17-02-2022,1.957652324,1.595937589,29.21286344,7.316583879,5.198702518,,,,
18-02-2022,2.028457415,6.668043605,61.07011194,7.151867685,6.033772319,,,,
19-02-2022,1.976130163,-0.389779171,43.04728143,7.681551611,6.772766774,,,,
20-02-2022,1.769641171,5.718735827,34.63331196,7.405512328,4.150646054,,,,
21-02-2022,1.757653638,2.241719114,18.29047183,6.947197379,4.422362957,,,,
22-02-2022,2.128459973,7.039066928,52.15679961,7.420744561,5.688039343,,,,
23-02-2022,2.058301362,2.522643011,56.32047712,7.728746864,5.002560085,,,,
24-02-2022,1.866105107,3.67926462,4864.340312,7.841563998,6.48989787,,,,
25-02-2022,1.992240552,8.185163186,39.372834,6.985872396,4.265638565,,,,
26-02-2022,2.015879889,7.024772401,54.19781399,7.720439514,5.170431653,,,,
27-02-2022,1.622579252,2.821410688,55.41821259,7.101360367,4.641559051,,,,
28-02-2022,1.955022345,4.428511668,35.67548275,7.353746237,5.788292626,,,,
01-03-2022,1.897225264,3.529159156,68.95388762,7.289875809,6.777499877,,,,
02-03-2022,1.742039009,5.509899897,47.10982303,7.738716835,6.978614379,,,,
03-03-2022,1.839045993,4.563303526,42.49274987,6.947046497,6.965144401,,,,
04-03-2022,1.698108102,3.65157991,80.74785892,7.288516476,5.468015993,,,,
05-03-2022,1.794487342,6.399070273,43.68128791,7.216100361,6.928696374,,,,
06-03-2022,1.938080635,7.830833262,82.69471991,7.2669072,4.381217957,,,,
07-03-2022,1.953913235,68.86366775,29.07148471,7.268918828,4.950832627,,,,
08-03-2022,2.100520152,0.571730106,42.99973385,7.463454009,5.226699052,,,,
09-03-2022,1.686854785,8.401439368,22.79691347,7.31201988,5.427078867,,,,
10-03-2022,1.835690315,0.111693812,36.77038033,7.113709842,4.509959876,,,,
11-03-2022,1.83327199,0.455617509,57.11079215,7.714503315,6.708500992,,,,
12-03-2022,1.835718837,5.888072609,19.15080363,7.591913674,5.991521162,,,,
13-03-2022,1.631664846,1.594736834,58.59150299,7.068775818,5.576645941,,,,
14-03-2022,2.039517535,5.050669236,55.77749926,7.697408125,4.149989831,,,,
15-03-2022,1.831093919,-0.408548031,26.12574843,7.062068991,5.845565797,,,,
16-03-2022,2.001025812,2.334579782,31.41616741,7.631541298,4.312487211,,,,
17-03-2022,1.988694223,8.952262276,80.22452346,7.724704885,6.962233031,,,,
18-03-2022,1.762408858,9.47087294,31.25025379,7.951027149,5.596126107,,,,
19-03-2022,1.762535795,8.856590524,71.96302317,7.054700335,6.605754697,,,,
20-03-2022,1.894589295,8.988902239,49.63839507,7.351447278,4.942706987,,,,
21-03-2022,2.066455318,9.672062983,40.11402835,7.503301852,6.78763177,,,,
22-03-2022,1.886490809,9.480685412,27.1247318,7.012532189,5.066272455,,,,
23-03-2022,2.027603012,9.425100375,32.64055515,6.90792487,5.346785016,,,,
24-03-2022,1.915339446,9.499677014,28.35777034,6.892163504,5.964465699,,,,
25-03-2022,1.978201344,9.147468291,83.95396138,7.842350736,4.721744064,,,,
26-03-2022,2.124704007,9.762063965,61.93970318,7.741671306,6.149111234,,,,
27-03-2022,1.939262633,9.011380931,43.70694333,6.977568379,5.793475657,,,,
28-03-2022,2.045403828,8.839245364,68.71807847,7.077151617,6.620263511,,,,
29-03-2022,1.769725494,9.702100537,42.97460867,7.673576539,6.6157372,,,,
30-03-2022,1.752339755,8.915166334,49.6574047,7.014929891,4.15933909,,,,
31-03-2022,2.008550555,8.828187415,27.20747089,7.352961216,6.811134957,,,,
01-04-2022,2.039824337,8.975501778,29.05430112,7.072515508,6.955332147,,,,
02-04-2022,1.654714662,9.603704894,27.0317676,7.347791533,4.206571044,,,,
03-04-2022,2.006206093,9.665801142,84.54694653,7.780728268,5.859089529,,,,
04-04-2022,1.725812015,9.286733956,83.70843048,7.105790244,5.595457445,,,,
05-04-2022,1.669491962,9.042446637,75.39130201,7.275641194,5.284113973,,,,
06-04-2022,1.989629168,18.31852625,40.23570801,7.430762771,6.696900547,,,,
07-04-2022,2.081666949,16.84880256,72.2913934,7.695365198,6.332573102,,,,
08-04-2022,1.819107595,68.8325278,46.58546591,7.196133968,5.916202709,,,,
09-04-2022,1.792353086,18.89436219,70.98760474,7.348132908,6.066466667,,,,
10-04-2022,2.012431751,18.26099301,70.73450398,7.249699455,4.653151358,,,,
11-04-2022,1.922980688,10.62044281,28.88128603,7.845417986,4.349661869,,,,
12-04-2022,1.901811466,12.97970966,60.35306362,7.46292323,6.921287294,,,,
13-04-2022,2.022364098,16.84846445,21.29096104,7.169548202,5.000104094,,,,
14-04-2022,1.73557313,13.38412774,18.36516784,7.702799453,5.011040578,,,,
15-04-2022,2.011719088,10.42934892,62.14118577,7.951029493,5.557595872,,,,
16-04-2022,1.6926503,12.78124711,43.87755909,7.773827032,4.679667732,,,,
17-04-2022,1.640181093,10.54301375,48.9003746,7.8282415,5.607599751,,,,
18-04-2022,1.991493807,16.80968221,35.11163334,7.992511356,6.183676055,,,,
19-04-2022,60,11.85180279,33.05345008,7.180304698,6.397215528,,,,
20-04-2022,1.976542213,11.41590488,77.22806386,7.482861514,6.863688076,,,,
21-04-2022,2.024874383,16.74580469,24.80862496,7.407805913,6.421022504,,,,
22-04-2022,1.766073592,15.37361417,37.93992397,6.93553211,4.55529036,,,,
23-04-2022,1.928989918,18.43700746,24.57191456,7.847297636,5.791033469,,,,
24-04-2022,1.977806062,17.85438959,20.22363127,7.428578563,5.0097289,,,,
25-04-2022,2.001209373,12.76113545,34.2104195,7.5290256,5.488490654,,,,
26-04-2022,1.65364792,11.06215569,65.85379954,7.119981699,6.332678951,,,,
27-04-2022,1.704205894,18.70253833,33.5903733,7.7817007,6.155449116,,,,
28-04-2022,1.983383078,15.26300623,42.09305533,7.469671067,5.878324615,,,,
29-04-2022,2.003906256,13.83026529,65.94291259,7.705893916,4.473844534,,,,
30-04-2022,1.640184081,19.00090361,36.08423078,6.912076931,5.282530718,,,,
01-05-2022,1.804898597,16.11276839,133.4415127,7.424497478,5.901563137,,,,
02-05-2022,1.97470153,12.21779105,107.2222703,7.268855615,5.009282135,,,,
03-05-2022,1.662603777,13.11471422,130.715666,7.856599383,4.826871719,,,,
04-05-2022,1.701291444,18.89397197,93.15955143,7.726196746,5.701068274,,,,
05-05-2022,1.792319959,16.63980798,97.40287363,7.165471065,5.397683173,,,,
06-05-2022,1.894217531,17.58537204,100.1129309,7.326134466,5.674651362,,,,
