date,waterLevel,rainfall,temperature,pHLevel,dissolvedOxygen
01-01-2024,30,10.4357268,57.5348401,6.692755721,5.778507551
02-01-2024,2.078257201,8.292303959,78.06519443,6.632351348,6.509978299
03-01-2024,2.135373616,9.032232025,29.87364227,6.958416239,6.603480396
04-01-2024,2.06582432,8.973049133,52.31437042,6.516345866,7.152604492
05-01-2024,2.10102646,3.459996979,55.38615327,6.746096254,7.621703236
06-01-2024,20,5.64397214,51.48603172,7.126425744,7.626191975
07-01-2024,2.347704052,8.22494782,38.10685162,7.055665977,8.490251402
08-01-2024,2.036509021,7.680645105,52.83956118,6.318394326,6.987102111
09-01-2024,2.038444213,6.542389757,66.12909315,6.962519549,6.181498713
10-01-2024,2.152553204,8.150456902,20.52282758,6.491383601,7.039516468
11-01-2024,2.103329669,6.392072833,77.31607984,6.673595317,7.117584217
12-01-2024,2.253214288,5.562525322,73.60612721,6.222478436,7.207826744
13-01-2024,2.429302647,3.10189429,29.87566536,6.926545683,7.179183384
14-01-2024,2.382335016,5.90429295,22.66789562,7.057753955,6.762277153
15-01-2024,2.115510794,9.632657698,29.4673224,6.427359698,5.00307264
16-01-2024,2.323889371,5.476457702,81.73298692,6.374391786,5.202341042
17-01-2024,2.032604831,3.882148013,82.58290388,6.730142055,7.786873562
18-01-2024,2.423178455,7.968802223,35.25604069,6.346178399,6.366126411
19-01-2024,2.035915364,7.605548322,51.8872167,6.404958396,5.076442637
20-01-2024,2.007645242,5.789660909,64.83188163,6.657664959,8.077119361
21-01-2024,2.141415547,7.793571648,43.73756546,6.43843761,6.253610506
22-01-2024,2.14226113,5.764256821,23.21985077,6.855186943,6.182379093
23-01-2024,2.154045104,3.163422198,35.14113792,7.042745548,8.058154466
24-01-2024,2.097787942,4.753573433,24.44083802,6.542266721,6.916403269
25-01-2024,2.427446498,8.679786971,31.52919786,10.15824313,7.108287486
26-01-2024,2.064494384,6.486510683,59.61539446,6.842112545,5.116421916
27-01-2024,2.025106546,10.21481988,50.44432864,6.238692001,5.949327002
28-01-2024,2.093991861,6.659605345,63.11498254,6.536282024,5.718118942
29-01-2024,2.0615237,6.270559351,76.17867442,6.770854568,7.665378979
30-01-2024,2.047024677,7.199270457,86.17406509,7.095008374,6.001253513
31-01-2024,2.253163807,5.963383762,31.68686888,6.658386593,8.32418886
01-02-2024,2.074697617,5.714689619,88.95058918,6.485232776,8.086628954
02-02-2024,2.145610629,5.703316143,84.10211032,6.643314079,8.011384503
03-02-2024,2.016403186,7.78566716,51.03372412,6.787401626,8.219176254
04-02-2024,2.068578172,9.070002142,63.98633921,6.349408774,6.172125841
05-02-2024,2.020938628,8.050415668,62.42727255,6.260878153,5.229764765
06-02-2024,2.017921618,10.18808422,31.06764492,6.340315181,7.388861448
07-02-2024,2.148613695,5.884909886,72.82887019,7.110523534,6.479791372
08-02-2024,2.099084108,52.17613799,5158.187141,7.191397749,6.256354204
09-02-2024,2.043346684,3.844236927,50.94268992,6.391782514,6.675395171
10-02-2024,2.117579667,8.071215084,58.25510849,6.829163866,7.156790286
11-02-2024,2.030237141,5.628527143,41.37395083,7.114757783,6.263179433
12-02-2024,2.300827366,10.8910413,65.08329167,6.584309801,7.245614493
13-02-2024,2.046634742,9.8159772,64.47451297,6.435916833,8.115019734
14-02-2024,2.082820753,8.782483054,31.71493196,6.913109559,5.030171828
15-02-2024,2.31945503,4.863055635,64.99862442,6.664425521,5.349838773
16-02-2024,2.037108553,9.371594316,46.1688015,6.25152917,6.838869816
17-02-2024,2.395123337,3.09797407,37.37808712,6.678148253,6.032423629
18-02-2024,2.113229303,8.52776518,20.30347803,6.955627805,7.782232789
19-02-2024,2.135954885,5.437083657,55.68620855,7.057264863,5.165457135
20-02-2024,2.058217853,9.701392825,60.03631938,6.286371528,6.229919591
21-02-2024,2.310418011,5.686793788,68.85396713,6.948143706,5.60771653
22-02-2024,2.417383989,6.714901885,42.32982657,6.390414745,6.956814854
23-02-2024,2.123840484,10.72014505,57.81861163,6.617789403,8.120588091
24-02-2024,2.094533687,9.688686579,5160.850781,6.560248476,8.357193388
25-02-2024,2.409772469,5.952365056,38.46692227,6.964609761,8.341346354
26-02-2024,2.108757294,7.38089926,73.23540497,6.251393241,6.580018815
27-02-2024,2.002853366,6.581474805,50.41324795,6.559023852,8.298466322
28-02-2024,2.128008412,8.342133242,45.58944016,6.493784109,5.30143289
29-02-2024,2.106249511,7.500714245,85.55746454,6.539556036,5.971567796
01-03-2024,2.04782645,6.690293253,46.83119632,6.541368313,6.296116532
02-03-2024,2.084346727,9.132506909,87.59149841,6.716625233,6.53185749
03-03-2024,2.285198726,10.40518512,31.56722283,6.58019809,5.452893971
04-03-2024,2.030039944,9.949248919,46.11912492,6.401540398,8.039412931
05-03-2024,2.386834151,3.952648983,25.01170064,6.94279578,7.19590725
06-03-2024,2.347565294,57.72733549,39.61084512,6.832354661,6.707818754
07-03-2024,2.138851609,3.543727833,60.86202165,6.361059296,5.029399801
08-03-2024,2.280432615,3.849437786,21.20233215,6.927394707,7.024195055
09-03-2024,2.04468989,8.678286763,62.40903297,6.355017109,5.220573189
10-03-2024,2.082172984,4.861988297,59.46902908,6.868055224,8.337921213
11-03-2024,2.08309415,7.93392821,28.48958791,6.951986383,6.730736596
12-03-2024,2.257058052,3.081290639,34.01689132,7.155880314,7.918534938
13-03-2024,2.381807014,5.519626473,85.01069615,6.34837868,5.96200822
