Date,Water_Level_m,Temperature_C,Rainfall_mm,pH,Dissolved_Oxygen_mg_L
2024-01-01,2.0782572012745,10.43572679535134,57.5348401005609,6.6927557212455,5.77850755117542
2024-01-02,2.0782572012745,8.29230395869271,78.06519442736631,6.63235134822633,6.50997829866528
2024-01-03,2.13537361556494,9.03223202459899,29.87364227044331,6.95841623941719,6.60348039607783
2024-01-04,2.06582431996957,8.97304913276418,52.31437042322886,6.51634586616434,7.1526044918194
2024-01-05,2.10102645979692,3.45999697855805,55.38615327298911,6.74609625440413,7.62170323574962
2024-01-06,2.22436525590218,5.64397214038053,51.48603172134096,7.12642574413246,7.62619197490517
2024-01-07,2.34770405200744,8.22494782038947,38.10685162382329,7.05566597731689,8.49025140189442
2024-01-08,2.03650902078453,7.6806451049656,52.83956117534424,6.31839432553672,6.9871021112767
2024-01-09,2.03844421270726,6.54238975662542,66.1290931494645,6.96251954877704,6.18149871290512
2024-01-10,2.15255320433029,8.15045690236704,20.52282758485995,6.49138360079394,7.03951646784816
2024-01-11,2.10332966914642,6.39207283278407,77.31607983845373,6.67359531676868,7.11758421659323
2024-01-12,2.25321428762845,5.56252532156682,73.60612720609032,6.22247843567593,7.20782674367343
2024-01-13,2.42930264733839,3.10189428954327,29.87566535565782,6.92654568264134,7.17918338380884
2024-01-14,2.38233501621698,5.90429295000928,22.66789561791338,7.05775395511094,6.76227715343458
2024-01-15,2.11551079373853,9.63265769761944,29.46732239934545,6.42735969800811,5.00307263991237
2024-01-16,2.32388937149089,5.47645770164746,81.7329869232722,6.37439178647949,5.20234104247752
2024-01-17,2.03260483085432,3.8821480133667,82.58290388114594,6.7301420554044,7.78687356247922
2024-01-18,2.42317845522693,7.96880222308825,35.2560406936075,6.34617839904557,6.36612641091455
2024-01-19,2.0359153644862,7.60554832225126,51.88721670146988,6.40495839620751,5.07644263732599
2024-01-20,2.00764524245104,5.78966090905392,64.83188163031699,6.65766495908967,8.07711936064628
2024-01-21,2.14141554680945,7.79357164789862,43.73756546335151,6.43843760962408,6.25361050646537
2024-01-22,2.14226113018952,5.76425682115687,23.21985077286744,6.85518694340808,6.18237909266168
2024-01-23,2.15404510390866,3.16342219804736,35.14113792245165,7.0427455481759,8.058154466453
2024-01-24,2.09778794202854,4.75357343281012,24.44083802326325,6.54226672109424,6.91640326870375
2024-01-25,2.42744649790151,8.67978697145535,31.52919785550208,10.158243125357188,7.1082874860301
2024-01-26,2.06449438351307,6.48651068322664,59.61539445990272,6.84211254505012,5.11642191615908
2024-01-27,2.02510654601295,10.21481988073744,50.44432863755064,6.23869200071142,5.94932700166304
2024-01-28,2.09399186080317,6.65960534468385,63.11498254175089,6.53628202381982,5.71811894224038
2024-01-29,2.06152369985785,6.2705593506728,76.17867442150471,6.770854568032,7.66537897882741
2024-01-30,2.04702467696822,7.19927045709928,86.17406508665229,7.09500837449032,6.00125351336276
2024-01-31,2.25316380736119,5.96338376167492,31.68686887750634,6.65838659348438,8.32418885981789
2024-02-01,2.07469761692707,5.71468961918459,88.95058918143643,6.4852327763531,8.08662895445377
2024-02-02,2.14561062857786,5.70331614335133,84.1021103211656,6.64331407866128,8.01138450294205
