date,waterLevel,rainfall,temperature,pHLevel,dissolvedOxygen
01-01-2023,1.599632095,1.404651894,24.03461889,6.729486442,8.390133557
02-01-2023,2.060571445,6.17788168,59.80160961,3,8.971786528
03-01-2023,1.885595153,5.714410328,51.58584714,6.742369741,7.740900248
04-01-2023,1.778926787,-0.174933581,43.76859836,7.513459816,8.986730388
05-01-2023,1.424814912,-1.224301203,34.73567663,6.955162837,9.75867502
06-01-2023,1.424795616,-0.963542589,63.24602974,6.57519548,7.608959208
07-01-2023,1.34646689,-1.648758847,36.58448091,7.759833419,9.708413656
08-01-2023,1.992940917,-1.016123426,59.91296917,7.64892165,8.419611991
09-01-2023,1.780892009,3.868956219,39.15241997,7.706077968,9.467902798
10-01-2023,1.866458062,-1.209134218,35.73194362,7.793380169,9.268191194
11-01-2023,1.316467595,0.847497731,40.44738821,6.726063824,8.78145675
12-01-2023,2.075927882,5.212465081,31.57578308,7.015114625,9.168895213
13-01-2023,1.965954113,-1.606842933,56.11851591,7.485710018,9.485445169
14-01-2023,1.469871289,4.960088405,42.64962146,7.404826803,8.413357127
15-01-2023,1.445459974,0.539394631,27.77169823,6.700064678,8.239094945
16-01-2023,1.446723608,-0.819231931,64.47660153,7.560583062,9.008761051
17-01-2023,1.543393794,3.982918473,36.11401718,6.791772743,9.325731829
18-01-2023,1.719805145,3.420225628,44.89540736,6.790962899,9.222764405
19-01-2023,1.645556015,5.483017712,64.8559661,7.19806675,9.303058846
20-01-2023,1.532983312,4.301089664,49.33308978,7.270821915,8.484418291
21-01-2023,1.789482316,4.868891722,21.42939224,7.25411207,9.348305329
22-01-2023,1.411595089,0.540886952,66.6907668,6.618932889,7.771672465
23-01-2023,1.533715719,-0.327251787,49.52394292,7.640699121,8.730545361
24-01-2023,1.593089475,4.430102439,33.41980881,6.845280055,7.513014573
25-01-2023,1.664855987,4.896728336,22.659964,6.668369398,8.233563976
26-01-2023,1.928140769,6.421192679,58.67138541,7.655372504,8.328203069
27-01-2023,18,1.624726718,49.10400158,7.742346948,8.395350283
28-01-2023,1.711387551,1.287750112,44.34036006,7.620765902,9.071755887
29-01-2023,1.773931655,4.644227574,64.16409207,7.552370897,8.378141309
30-01-2023,1.33716033,1.028669384,58.37284662,7.351814575,8.514047587
31-01-2023,1.786035882,5.925285803,23.34211839,7.216114582,8.036849736
01-02-2023,1.436419299,5.32482584,32.14471373,6.613082788,8.343549049
02-02-2023,1.352041274,1.760650427,5,7.030989177,8.013629358
03-02-2023,2.05910843,4.432229863,55.91704609,6.984495072,7.665422788
04-02-2023,2.072505626,4.462705855,16.84428391,6.837679919,8.863793821
