date,waterLevel,rainfall,temperature,pHLevel,dissolvedOxygen
01-01-2024,2.518621657,2.928399578,47.06500735,7.294133919,5.87183266
02-01-2024,2.694331184,1.107087639,54.4543878,7.196243123,5.981987133
03-01-2024,2.596771996,0.592376599,43.67425813,6.830115785,8.423003037
04-01-2024,2.54850454,3.23359749,78.83610923,7.454966285,7.643592251
05-01-2024,2.606224766,2.398867426,30.45308045,7.202999597,5.747318944
06-01-2024,2.557108847,1.287193754,22.73560472,7.187427455,8.076008362
07-01-2024,2.672526075,4.022179104,48.630894,6.987799389,5.682343381
08-01-2024,2.508220031,4.375359234,86.15257859,6.58621685,8.208544737
09-01-2024,2.521669547,0.423812055,35.02343875,7.111995004,6.67683058
10-01-2024,2.653432009,4.828746062,44.51323087,6.749665995,6.05016356
11-01-2024,2.510285742,5.017770649,83.13422551,6.550562427,6.131376653
12-01-2024,2.655143308,7.234182977,62.8523866,7.397172571,5.504497499
13-01-2024,2.501827789,6.74220182,72.96720537,7.136864444,6.71549286
14-01-2024,2.623662423,-0.993253081,61.96373903,6.566018946,7.358994148
15-01-2024,2.663741867,2.803170014,84.23816341,7.304065416,6.366559641
16-01-2024,2.679717145,-0.28474894,39.7296555,6.857008649,7.396777313
17-01-2024,2.697122316,2.989104049,65.89282447,7.217337179,5.839500828
18-01-2024,2.599348984,7.854999123,57.19935402,6.732165693,5.819256358
19-01-2024,2.570463785,3.542983668,54.16070852,6.569973222,8.215645992
20-01-2024,2.673416999,6.1330311,28.92539819,6.808853952,5.9580228
21-01-2024,2.579376349,0.978861186,44.86710746,7.303463856,5.288484967
22-01-2024,2.628731444,6.610871596,49.10764653,6.520615205,6.715538781
23-01-2024,2.504090663,2.2024417,27.91422214,7.295036011,6.786711907
24-01-2024,0,0.719737154,21.21557246,7.161144045,5.289052786
25-01-2024,2.58592266,1.637959241,75.51873826,6.715867893,5.910471073
26-01-2024,2.611709305,7.217236879,34.12481523,7.35693041,7.076054557
27-01-2024,2.655822258,6.025206676,28.93004675,6.526715747,5.476166743
28-01-2024,2.580511425,6.366629061,26.08318962,6.627057302,7.508647914
29-01-2024,2.681598984,52.90260504,40.69735961,7.254112446,5.13909836
30-01-2024,2.629993922,7.877589533,77.82710572,7.353859635,6.541683276
31-01-2024,2.645454445,0.665343583,48.80437154,6.829911422,7.035928446
01-02-2024,2.655912208,3.681631658,40.3870104,6.779144029,5.113159568
